,Years up,Div yield,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change,Score,Sector
AIRC,0.0,77.36991330028671,0.1456929743506425,7.144887418578852,55.250052640836465,8.69223567705081,6.451612903225806,10.54719413421672,0.5727417359024217,0.03977565767812928,14.720025677292394,22.92171170483867,Real Estate
AISP,0.0,,0.009079611490652667,25.082876571165524,48.78943610074881,45.14670429912076,4.838709677419355,0.09248285363771633,,,-43.687248686627875,14.113406785889298,Technology
AIV,0.0,,0.02415867559570916,26.339368089463843,52.27967263054637,32.74391250561601,48.38709677419355,2.3957483963508217,-0.004510356349914716,-0.053893361501096644,59.5451774413908,34.37803539585996,Real Estate
AJG,94.44444444444444,15.981628826265299,0.7241614259454595,22.60958421523532,33.760670062687744,43.14861082807063,64.51612903225806,100.0,0.4604914265511755,0.35368241281026547,87.70701377103588,73.53750019236688,Financial Services
AKAM,53.124999999999986,,0.5043159828002097,12.881061315566978,54.017101408712506,7.761430273795024,40.32258064516129,40.05418368736115,0.2916740321725296,0.289062974433716,81.17822112561443,48.30182204788606,Technology
AKBA,53.124999999999986,,0.011229000376400674,9.92266909320922,29.064129419756064,-49.412962185736795,16.129032258064516,0.5942195250987834,-0.000984655259488424,-0.047375138043202696,-18.127730722264054,3.865856478989888,Healthcare
AKR,53.124999999999986,70.9679864717273,0.0847997569714526,30.980995273126034,55.34515878219519,46.59998559187356,50.0,4.0003049925828735,0.02121265688527488,0.5511022044088176,2.2942171609555273,42.2875508606254,Real Estate
AKRO,0.0,,0.05934227221091669,,,,8.064516129032258,2.614294306270956,-0.00727374369105965,-0.09541313115037317,87.51262889933444,25.61317466566736,Healthcare
AKTS,0.0,,0.0015627012922127136,93.59071623454341,-17.84731380906119,94.19230520660032,14.516129032258066,0.10958649689124683,-0.0030174919242387183,-0.007409926174167268,-32.603098164122315,23.974738912148304,Technology
AL,0.0,44.4788208248277,0.0934214051050783,14.9888034705018,33.328034622739764,7.822761154809823,20.96774193548387,9.805687576711057,0.3942018737846915,0.07113226107268,62.638615145962326,27.54213419821517,Industrials
